"site","campaign","height_bin_num","height_mid_m","stem_SA_m2","flux_nmol_m2_s","total_flux_nmol_s","scenario"
"CP40","Mar 2022",10,10.25,4.19555219,0,0,"zero_above_max"
"CP40","Mar 2022",10.5,10.75,1.770607714,0,0,"zero_above_max"
"CP40","Mar 2022",11,11.25,0.582547913,0,0,"zero_above_max"
"CP40","Mar 2022",11.5,11.75,0.036946261,0,0,"zero_above_max"
"FLM30","Mar 2022",0,0.25,59.12687936,12.7986230654153,756.742641962922,"zero_above_max"
"FLM30","Mar 2022",0.5,0.75,36.279548959,6.03139682787089,218.816356507899,"zero_above_max"
"FLM30","Mar 2022",1,1.25,33.185797234,1.45599202799363,48.3182562153172,"zero_above_max"
"FLM30","Mar 2022",1.5,1.75,29.044421687,0,0,"zero_above_max"
"FLM30","Mar 2022",2,2.25,26.981116496,0,0,"zero_above_max"
"FLM30","Mar 2022",2.5,2.75,25.802751711,0,0,"zero_above_max"
"FLM30","Mar 2022",3,3.25,24.08722039,0,0,"zero_above_max"
"FLM30","Mar 2022",3.5,3.75,23.213233519,0,0,"zero_above_max"
"FLM30","Mar 2022",4,4.25,20.727214663,0,0,"zero_above_max"
"FLM30","Mar 2022",4.5,4.75,18.394616863,0,0,"zero_above_max"
"FLM30","Mar 2022",5,5.25,16.596003043,0,0,"zero_above_max"
"FLM30","Mar 2022",5.5,5.75,13.164497246,0,0,"zero_above_max"
"FLM30","Mar 2022",6,6.25,11.198496228,0,0,"zero_above_max"
"FLM30","Mar 2022",6.5,6.75,9.41790114,0,0,"zero_above_max"
"FLM30","Mar 2022",7,7.25,7.178411854,0,0,"zero_above_max"
"FLM30","Mar 2022",7.5,7.75,4.955332173,0,0,"zero_above_max"
"FLM30","Mar 2022",8,8.25,3.656596828,0,0,"zero_above_max"
"FLM30","Mar 2022",8.5,8.75,1.417504889,0,0,"zero_above_max"
"FLM30","Mar 2022",9,9.25,0.698586722,0,0,"zero_above_max"
"FLM30","Mar 2022",9.5,9.75,0.365448341,0,0,"zero_above_max"
"FLM30","Mar 2022",10,10.25,0.310972685,0,0,"zero_above_max"
"FLM30","Mar 2022",10.5,10.75,0.166994499,0,0,"zero_above_max"
"SRS5","Mar 2022",0,0.25,30.89988231,0,0,"zero_above_max"
"SRS5","Mar 2022",0.5,0.75,59.773419509,0,0,"zero_above_max"
